name,gender,age,city,vehicle,country
harihar,male,34,chennai,BMW,India
binu,male,38,bangalore,Audi,India
shalini,female,28,bangalore,Volvo,India
uttam,male,23,surat,MG,India
Sharma,male,55,jaipur,NA,India
sambit,male,43,pune,Tata,India
arnav,male,48,mumbai,Jaguar,India
Yami,female,33,haridwar,Mercedes,India
Vinay,male,25,hyderabad,NA,India
name1,male,24,bhubaneswar,BMW,India
name2,male,78,bangalore,Audi,India
name3,female,28,noida,Volvo,India
name4,male,23,surat,MG,India
name5,female,25,jaipur,BMW,India
name5,male,43,pune,Volvo,India
name6,male,44,mumbai,BMW,India
name7,female,33,haridwar,Mercedes,India
name8,male,25,hyderabad,NA,India
